database_name,table_name,header,header_data_type,foreign_key
master,reference,id,VARCHAR(7),FALSE
master,reference,abbreviation,TEXT,FALSE
master,reference,description,TEXT,FALSE
master,reference,type,TEXT,FALSE
master,profile,id,VARCHAR(10),FALSE
master,profile,name,TEXT,FALSE
master,profile,total_boxes,INT,FALSE
master,profile,total_price_spent,FLOAT,FALSE
master,profile,average_price,FLOAT,FALSE
master,profile,average_dv,FLOAT,FALSE
master,profile,average_tts,FLOAT,FALSE
master,profile,average_finish_rate,FLOAT,FALSE
master,profile,average_pmr,FLOAT,FALSE
master,profile,average_pvr,FLOAT,FALSE
raw_data,box_purchases,id,VARCHAR(7),FALSE
raw_data,box_purchases,purchase_date,DATE,FALSE
raw_data,box_purchases,price,FLOAT,FALSE
raw_data,box_purchases,location,VARCHAR(5),FALSE
raw_data,box_purchases,profile_id,TEXT,FALSE
raw_data,box_flavors,id,VARCHAR(7),FALSE
raw_data,box_flavors,box_id,VARCHAR(7),boxes_all;id
raw_data,box_flavors,flavor,VARCHAR(5),FALSE
raw_data,box_flavors,start_date,DATE,FALSE
raw_data,box_flavors,finish_date,DATE,FALSE
raw_data,box_flavors,has_cans,BOOL,FALSE
raw_data,can_data,id,TEXT,FALSE
raw_data,can_data,box_id,VARCHAR(7),boxes_all;id
raw_data,can_data,profile_id,VARCHAR(7),FALSE
raw_data,can_data,initial_mass,INT,FALSE
raw_data,can_data,initial_volume,FLOAT,FALSE
raw_data,can_data,final_mass,INT,FALSE
raw_data,can_data,final_volume,FLOAT,FALSE
raw_data,can_data,finish_status,VARCHAR(3),FALSE
static_analyses,box_analysis,box_id,VARCHAR(7),FALSE
static_analyses,box_analysis,time_to_start,INT,FALSE
static_analyses,box_analysis,drink_velocity,INT,FALSE
static_analyses,box_analysis,completion_percentage,FLOAT,FALSE
static_analyses,box_analysis,average_pmr,FLOAT,FALSE
static_analyses,box_analysis,average_pvr,FLOAT,FALSE
static_analyses,can_analysis,can_id,VARCHAR(7),FALSE
static_analyses,can_analysis,objective_finish_status,VARCHAR(3),FALSE
static_analyses,can_analysis,percentage_mass_remaining,FLOAT,FALSE
static_analyses,can_analysis,percentage_volume_remaining,FLOAT,FALSE
dynamic_analyses,flavor_analysis,flavor,VARCHAR(5),FALSE
dynamic_analyses,flavor_analysis,total_purchased,INT,FALSE
dynamic_analyses,flavor_analysis,average_finish_rate,FLOAT,FALSE
dynamic_analyses,flavor_analysis,average_pmr,FLOAT,FALSE
dynamic_analyses,flavor_analysis,average_pvr,FLOAT,FALSE
dynamic_analyses,empty_can,entry_id,VARCHAR(7),FALSE
dynamic_analyses,empty_can,average_mass,FLOAT,FALSE
dynamic_analyses,empty_can,average_volume,FLOAT,FALSE