abbreviation,description,type
PSF,Passionfruit,Flavor
GSP,Guava Sao Paulo,Flavor
PLM,Plum,Flavor
LM,Lime,Flavor
LMN,Lemon,Flavor
BP,Beach Plum,Flavor
BRB,Black Razzberry,Flavor
CL,Cerise Limon,Flavor
MP,Mure Pepino,Flavor
PF,Pina Fraise,Flavor
PQ,Pasteque,Flavor
MJ,Mojito,Flavor
MG,Mango,Flavor
SP,Strawberry Peach,Flavor
SMP,Summer Pack,Costco_Pack
CMP,Commencement Pack,Costco_Pack
TGT,Target,Location
CCO,Costco,Location
F4L,Food 4 Less,Location
RPH,Ralphs,Location
SUP,Superior,Location
VON,Vons,Location
WLG,Walgreens,Location
JON,Jons,Location
Y,Yes,Administrative_Can_Status
N,No,Administrative_Can_Status
S,Sliver,Administrative_Can_Status